file,total_windows,synthetic_windows,synthetic_on_window_rate,synthetic_on_sample_rate,synthetic_y_mean,synthetic_y_max,synthetic_energy_per_window_mean,synthetic_aggregate_mean,synthetic_aggregate_max
train_d1_full_window_append_100.npz,390,195,0.40512820512820513,0.07587139423076923,46.358177,2098.6858,23735.39,433.1528,5786.9966
train_d2_on_event_insertion_100.npz,390,195,1.0,0.16013621794871793,85.62404,2107.0813,43839.508,479.75604,6494.458
train_d3_balanced_event_insertion_100.npz,390,195,0.717948717948718,0.11944110576923077,67.59363,2107.0813,34607.94,451.1733,5834.902
train_d3_balanced_event_insertion_200.npz,585,390,0.7076923076923077,0.12324719551282051,70.80369,2107.0813,36251.484,467.90933,6277.578
train_d3_balanced_event_insertion_25.npz,244,49,0.6326530612244898,0.10602678571428571,60.62781,2039.3933,31041.441,448.1329,4656.091
train_d3_balanced_event_insertion_50.npz,293,98,0.6836734693877551,0.1080795599489796,61.334305,2089.4377,31403.166,436.3207,4942.234
train_real_only.npz,195,0,0.26153846153846155,0.04519230769230769,24.525486,2149.2222,12557.048,411.32016,5786.8
